Name,SteamId,CsmId
'Blueberries' Buckshot | NSWC SEAL,176209284,1083601
★ Bowie Knife | Boreal Forest (Factory New),140102301,10280
★ Bowie Knife | Boreal Forest (Field-Tested),139705926,3990
★ Bowie Knife | Boreal Forest (Minimal Wear),139778815,2465
★ Bowie Knife | Boreal Forest (Well-Worn),139708390,562
★ Bowie Knife | Bright Water (Battle-Scarred),176263479,1087575
★ Bowie Knife | Bright Water (Factory New),176263329,1087559
★ Bowie Knife | Bright Water (Field-Tested),176263235,1087382
★ Bowie Knife | Bright Water (Minimal Wear),176263008,1087383
★ Bowie Knife | Bright Water (Well-Worn),176263453,1087704
★ Bowie Knife | Case Hardened (Battle-Scarred),139763391,4858
★ Bowie Knife | Case Hardened (Factory New),139718950,20183
★ Bowie Knife | Case Hardened (Field-Tested),139705925,15707
★ Bowie Knife | Case Hardened (Minimal Wear),139813603,13374
★ Bowie Knife | Case Hardened (Well-Worn),139763397,1851
★ Bowie Knife | Crimson Web (Battle-Scarred),139718951,14392
★ Bowie Knife | Crimson Web (Factory New),162242859,21235
★ Bowie Knife | Crimson Web (Field-Tested),139813604,2929
★ Bowie Knife | Crimson Web (Minimal Wear),139966115,13449
★ Bowie Knife | Crimson Web (Well-Worn),139705919,19555
★ Bowie Knife | Damascus Steel (Battle-Scarred),175883095,14384
★ Bowie Knife | Damascus Steel (Factory New),175881419,3628
★ Bowie Knife | Damascus Steel (Field-Tested),175880668,3353
★ Bowie Knife | Damascus Steel (Minimal Wear),175880953,7745
★ Bowie Knife | Damascus Steel (Well-Worn),175881569,16025
★ Bowie Knife | Doppler (Factory New),175880901,1077997
★ Bowie Knife | Doppler (Minimal Wear),175885533,1078388
★ Bowie Knife | Doppler Black Pearl (Factory New),175880901,1836
★ Bowie Knife | Doppler Black Pearl (Minimal Wear),175885533,29997
★ Bowie Knife | Doppler Phase 1 (Factory New),175880901,3179
★ Bowie Knife | Doppler Phase 1 (Minimal Wear),175885533,20528
★ Bowie Knife | Doppler Phase 2 (Factory New),175880901,17479
★ Bowie Knife | Doppler Phase 2 (Minimal Wear),175885533,20759
★ Bowie Knife | Doppler Phase 3 (Factory New),175880901,13666
★ Bowie Knife | Doppler Phase 3 (Minimal Wear),175885533,22939
★ Bowie Knife | Doppler Phase 4 (Factory New),175880901,9625
★ Bowie Knife | Doppler Phase 4 (Minimal Wear),175885533,24403
★ Bowie Knife | Doppler Ruby (Factory New),175880901,14430
★ Bowie Knife | Doppler Ruby (Minimal Wear),175885533,24970
★ Bowie Knife | Doppler Sapphire (Factory New),175880901,5426
★ Bowie Knife | Doppler Sapphire (Minimal Wear),175885533,21806
★ Bowie Knife | Fade (Factory New),139748202,921
★ Bowie Knife | Fade (Minimal Wear),139948508,2305
★ Bowie Knife | Forest DDPAT (Battle-Scarred),139778812,480
★ Bowie Knife | Forest DDPAT (Factory New),139795447,20943
★ Bowie Knife | Forest DDPAT (Field-Tested),139691724,485
★ Bowie Knife | Forest DDPAT (Minimal Wear),139833936,3928
★ Bowie Knife | Forest DDPAT (Well-Worn),139813607,466
★ Bowie Knife | Freehand (Battle-Scarred),176264127,1087999
★ Bowie Knife | Freehand (Factory New),176263056,1087491
★ Bowie Knife | Freehand (Field-Tested),176263197,1087332
★ Bowie Knife | Freehand (Minimal Wear),176263196,1087196
★ Bowie Knife | Freehand (Well-Worn),176263343,1087526
★ Bowie Knife | Gamma Doppler (Factory New),176263223,1088305
★ Bowie Knife | Gamma Doppler (Minimal Wear),176263556,0
★ Bowie Knife | Gamma Doppler Emerald (Factory New),176263223,1087531
★ Bowie Knife | Gamma Doppler Emerald (Minimal Wear),176263556,1088296
★ Bowie Knife | Gamma Doppler Phase 1 (Factory New),176263223,1087506
★ Bowie Knife | Gamma Doppler Phase 1 (Minimal Wear),176263556,1088148
